table_name
attribute
attribute_mapping
domain_def
domain_value
entity
entity_allocation
entity_filter
entity_group_by
entity_mapping
entity_order
entity_time_selection
entity_window
filter_def
function_def
layer
model
relationship_def
time_profile_def
validation_result
